scenario,step,load_kw,pv_kw,wind_kw,price,carbon_g_per_kwh,carbon_observed_g_per_kwh
2019-01-19,5,1026.4919715407646,0.0,123.8437653211309,0.052270000000000004,229.0,221.5
2019-01-19,6,1090.9451421017845,0.0,116.90635724791633,0.056659999999999995,252.5,229.0
2019-01-19,7,1202.0061428404806,0.0,113.69504821049192,0.05793,286.5,252.5
2019-01-19,8,1351.1372030636446,5.925925925925926,111.58686059813695,0.06196,311.5,286.5
2019-01-19,9,1449.3215660355354,41.48148148148148,107.73819251511685,0.061770000000000005,322.0,311.5
2019-01-19,10,1532.5298394308154,113.77777777777777,107.54208203954894,0.068,323.5,322.0
2019-01-19,11,1547.0160569184713,162.2222222222222,103.71792776597484,0.074,337.0,323.5
2019-01-19,12,1545.1965320166403,159.25925925925924,92.95636541918614,0.075,342.5,337.0
2019-01-19,13,1519.093347848062,139.85185185185185,83.59209021081877,0.07490999999999999,348.5,342.5
2019-01-19,14,1487.4266163835,89.33333333333333,72.95309691126002,0.06343,356.5,348.5
2019-01-19,15,1469.826212044633,29.629629629629626,67.63360026148064,0.0595,368.5,356.5
2019-01-19,16,1538.0583958633024,1.6296296296296295,62.21604837391731,0.07681,367.5,368.5
2019-01-19,17,1611.8891178414526,0.0,60.59813695048211,0.09501000000000001,368.0,367.5
2019-01-19,18,1581.2371214182965,0.0,60.84327504494198,0.09,362.0,368.0
2019-01-19,19,1515.5242797713931,0.0,58.44092171923517,0.07593000000000001,369.0,362.0
2019-01-19,20,1448.0618949496522,0.0,53.121425069455796,0.068,358.0,369.0
2019-01-19,21,1355.6860153182226,0.0,46.18401699624122,0.0613,333.0,358.0
2019-01-19,22,1248.0541192022083,0.0,39.95750939696029,0.0605,310.0,333.0
2019-01-19,23,1151.3043816336847,0.0,34.88315084164079,0.064,303.5,310.0
2019-01-20,0,1132.094397573967,0.0,30.960941330282726,0.06132,307.0,303.5
2019-01-20,1,1114.3190389176161,0.0,28.632129432913874,0.05905,306.0,307.0
2019-01-20,2,1068.0611173749078,0.0,23.655826115378332,0.05692,305.5,306.0
2019-01-20,3,1023.5527390070372,0.0,22.96943945089067,0.05497,309.0,305.5
2019-01-20,4,976.1751098324327,0.0,23.361660402026477,0.05264,314.0,309.0
2019-01-20,5,988.2469577388127,0.0,24.39124039875797,0.05058,315.5,314.0
2019-01-20,6,1040.9781890284205,0.0,27.87220134008825,0.051340000000000004,314.5,315.5
2019-01-20,7,1102.3521636017263,0.0,28.877267527373753,0.04934,311.0,314.5
2019-01-20,8,1238.606586058085,17.48148148148148,31.696355613662366,0.05699,314.0,311.0
2019-01-20,9,1408.6621826523076,109.92592592592592,38.87890178133682,0.06006,318.0,314.0
2019-01-20,10,1501.5279343726918,255.55555555555554,43.021735577708775,0.05993,311.0,318.0
2019-01-20,11,1529.3806617161076,351.85185185185185,53.21948030723975,0.060899999999999996,306.5,311.0
